102.75,1.8293,6.3532,-7.8464,11.723,-2.7005,11.074,-3.5921,1.2844,-3.7836,2.7193,-1.466,0.49723,5.3177,-0.55471,1.3047,-0.40221,3.0006,1
81.385,22.431,4.4979,12.305,10.29,-7.1854,19.418,12.954,-0.77302,24.316,10.953,3.9382,0.71761,2.2689,-0.48757,2.2568,-1.0458,1.721,1
54.237,14.212,4.2284,0.098832,6.767,1.021,14.164,3.5533,3.2412,-4.5024,3.3854,-2.9766,-1.5603,2.0008,-1.1771,1.6801,-0.025756,2.6415,1
62.965,18.303,5.0991,5.2326,8.429,-5.5215,14.014,7.1018,-1.5491,9.9763,-8.3639,-0.078431,-2.8776,2.9995,-3.1083,3.0314,0.1286,3.6455,1
48.935,3.5417,-7.6776,6.4637,0.84574,3.7374,7.1091,-0.12341,4.178,2.2079,1.3691,-1.1831,-0.42007,3.0492,-2.3614,0.96052,0.16968,0.6156,1
101.23,38.748,-9.1399,21.614,-5.3847,14.106,10.475,8.4929,-5.6387,7.5914,9.6866,-0.29667,0.48195,2.9749,-3.0711,2.5049,1.2908,-0.65412,1
60.882,25.71,4.2595,3.4457,6.178,-0.91965,15.716,0.93592,5.8065,-1.8435,0.39102,0.77678,4.7625,1.7913,-4.1546,-1.9867,-1.4065,-0.93354,1
100.88,21.841,-14.983,19.595,-1.4352,11.662,18.505,6.0407,1.9684,3.5161,6.381,-1.5729,-0.56428,-0.37238,-0.78672,2.9726,0.56132,1.6458,1
79.715,29.865,3.8036,5.6728,6.3779,-5.4534,24.68,0.16789,-5.1091,0.77737,-6.3236,5.4478,8.3394,-0.57891,0.57424,1.3226,-0.24576,1.948,1
97.978,34.077,2.5317,9.5302,3.6824,10.962,15.839,11.855,-0.91024,2.8458,7.8348,-1.4848,0.059236,0.53048,0.10011,3.3235,0.16325,2.3125,1
113.85,44.12,2.5247,9.6771,7.2501,-5.1433,30.27,0.98966,-10.227,-7.8878,1.5379,-4.7558,-5.3009,0.98608,-3.6122,2.3688,0.30312,2.0653,1
123.03,35.104,8.088,5.4489,11.48,11.082,19.61,17.046,2.19,4.959,9.1641,-1.034,1.6362,-1.1692,-1.8821,6.0309,0.25397,1.2658,1
74,3.9002,2.4228,-2.2503,6.5825,-10.361,21.096,-4.4557,1.3723,11.062,18.016,-2.382,-1.7763,5.1027,-0.57904,2.021,-1.7325,2.3665,1
116.28,48.322,7.8681,8.6578,9.6194,-0.19469,32.646,6.1049,-7.7965,-1.535,-4.8989,8.7387,14.517,0.29269,0.87485,7.4407,2.453,-0.59008,1
98.612,6.1984,12.653,-3.6551,1.2474,3.4362,6.2596,1.8335,4.9288,1.062,-1.5208,-3.5298,-1.1999,3.6996,-3.2611,0.2639,-1.6515,1.7,1
84.969,2.8978,3.3208,-3.0022,5.8228,-0.59905,7.7446,-1.9771,4.3958,3.3261,-0.087784,-2.0859,-0.83472,3.2241,-1.9507,0.71192,-1.3522,0.90482,1
52.763,24.467,3.1844,4.8768,1.8464,5.9748,3.829,7.1525,-5.3649,5.7801,0.65134,1.3937,1.5212,0.84223,0.16983,2.3958,0.61225,2.2431,1
69.267,31.45,3.3027,4.3047,4.9099,-6.091,11,-7.7048,6.5133,-1.0574,-0.071636,0.67342,4.6623,-2.134,-2.7138,-0.86192,-1.8418,0.42206,1
61.779,16.269,1.6425,1.0285,2.6793,-2.1143,9.1335,-2.8791,-3.9973,11.775,5.4324,3.4528,-2.7514,3.9246,-0.37583,1.644,0.987,1.2578,1
65.868,27.396,3.9152,3.3977,3.0682,-4.6227,11.148,-3.4161,-11.896,2.0829,-0.34013,4.7281,2.6634,1.8636,-0.37678,0.18287,0.84479,2.5514,1
48.96,18.056,3.266,1.974,5.2961,0.23714,16.23,5.0417,5.8076,5.6827,10.513,-2.4361,-2.0484,1.4283,-0.69341,1.9024,-0.83746,1.0104,1
76.96,28.136,4.6765,1.9775,6.1346,-4.9129,14.916,-2.5951,1.3915,-0.33002,5.8308,-0.35022,2.7906,10.973,-8.7525,-7.1924,-2.1963,-1.7083,1
78.275,19.63,0.30263,-7.756,6.4364,-4.7346,19.842,9.2802,10.439,3.9564,10.186,-2.7325,2.1106,0.50839,-3.0833,2.4099,-0.52087,1.1005,1
66.873,33.324,4.3592,5.5135,4.8563,2.1424,10.099,2.8955,5.4711,2.8273,-0.94203,-0.21018,2.9151,-3.43,-2.8629,2.7127,-0.6868,2.4824,1
70.055,10.736,-7.2816,-4.7744,0.15468,-11.015,17.192,7.6298,-1.6381,20.657,-2.3742,-1.0509,-1.5506,6.2687,-2.1898,2.595,-0.1676,1.7867,1
41.172,7.2678,-1.9967,-8.4585,1.44,-9.7671,10.541,4.8061,-0.61312,7.2155,-3.7819,-0.030678,1.1952,3.006,-0.023307,0.87328,0.085663,0.52205,1
110.19,53.033,7.6385,9.27,6.8616,18.541,6.8631,18.466,4.2086,5.2121,-1.0256,-4.0044,-4.5655,2.8802,4.6822,1.231,-0.86207,2.351,1
51.729,13.263,3.2572,-0.081612,5.1899,-5.7574,11.476,-1.9814,3.9999,5.1357,-4.2271,-2.4717,-2.043,1.2278,-4.1653,0.59097,-1.5445,1.9539,1
80.882,26.971,-1.8532,9.1794,7.2282,6.6415,2.7597,-4.5909,-8.3506,8.9341,-1.0568,-16.803,-0.076693,4.644,-2.3681,-4.184,8.45,1.7185,1
123.31,36.108,12.555,6.2429,26.147,9.4151,23.763,10.606,-1.4884,5.0398,1.705,-28.797,-1.8889,2.2802,-6.327,-4.6689,12.042,-0.22127,1
120.44,45.894,8.2235,5.9427,9.1505,5.1897,18.864,8.7133,-5.3903,-0.026232,0.35354,-2.1194,-0.071752,-1.1195,-0.64971,3.3741,0.27568,1.4652,1
94.814,9.2519,-2.9012,6.2474,8.792,-2.1252,25.124,-0.73262,-0.96534,13.224,-4.1349,-3.2101,6.0756,0.11893,0.70698,0.5744,2.4599,1.0505,1
94.25,48.799,0.79849,12.722,6.9415,3.2197,5.1531,-10.962,-5.3321,10.085,3.1119,-14.08,8.5618,-4.4731,-1.2609,-0.53389,9.0612,0.56901,1
88.873,1.6807,7.8485,-7.8109,18.534,5.5821,4.8483,-8.1813,-2.0378,7.2452,-1.6165,-17.58,9.8483,3.5902,2.2477,-4.7951,10.505,0.6239,1
144.86,83.296,10.501,13.468,12.688,4.8799,21.065,-0.25583,13.489,-3.0395,1.4826,-7.819,6.7032,-12.647,-2.9985,1.6931,0.41909,1.1701,1
